Tables_in_test
a
a_user
b
biz_credit
biz_live
biz_live_member
biz_live_push
biz_live_state
biz_pairing_group
biz_record_video
biz_record_video_state
biz_syllabus
biz_video
biz_video_attachment
biz_video_convert
biz_video_pattern
biz_video_qp
biz_video_sw
biz_video_timeinfo
employee
kb
pub_agent_server
pub_ftp_server
pub_record_equipment
pub_record_equipment_cmd
pub_record_equipment_push
pub_record_equipment_state
pub_rserver
pub_rtmp_server
pub_security_code
pub_security_ip
pub_sip_server
score
sys_cluster_lock
sys_task_fired
sys_task_info
sys_task_log
sys_task_scheduler_state
t
t1
t16
t2
t_gxfw_xlxqxx
t_gxjx_bzksjsskxx
t_m
t_user
task_detail
tb2
tb_bar
tb_baz
tb_card
tb_foo
tb_user
tba_user
th_data_count
th_video_pv
user
xuehai_school
